indicator;Años__ESTANDAR;País__ESTANDAR;value;unit;notes_ids;source_id
Número de femicidios o feminicidios;2005;Costa Rica;27,00;Número absoluto;;1300
Número de femicidios o feminicidios;2006;Costa Rica;15,00;Número absoluto;;1300
Número de femicidios o feminicidios;2007;Costa Rica;21,00;Número absoluto;;1300
Número de femicidios o feminicidios;2008;Costa Rica;33,00;Número absoluto;;1300
Número de femicidios o feminicidios;2009;Costa Rica;39,00;Número absoluto;;1300
Número de femicidios o feminicidios;2010;Costa Rica;31,00;Número absoluto;;1300
Número de femicidios o feminicidios;2011;Costa Rica;42,00;Número absoluto;;1300
Número de femicidios o feminicidios;2012;Costa Rica;26,00;Número absoluto;;1300
Número de femicidios o feminicidios;2013;Costa Rica;18,00;Número absoluto;;1300
Número de femicidios o feminicidios;2014;Costa Rica;24,00;Número absoluto;;1300
Número de femicidios o feminicidios;2008;Dominica;1,00;Número absoluto;;1682
Número de femicidios o feminicidios;2010;Dominica;2,00;Número absoluto;;1682
Número de femicidios o feminicidios;2012;Dominica;1,00;Número absoluto;;1682
Número de femicidios o feminicidios;2013;Dominica;3,00;Número absoluto;;1682
Número de femicidios o feminicidios;2014;Ecuador;27,00;Número absoluto;8479;1792
Número de femicidios o feminicidios;2014;El Salvador;121,00;Número absoluto;;1287
Número de femicidios o feminicidios;2013;Guatemala;246,00;Número absoluto;10393;1315
Número de femicidios o feminicidios;2014;Guatemala;214,00;Número absoluto;10393;1315
Número de femicidios o feminicidios;2014;Honduras;290,00;Número absoluto;;1280
Número de femicidios o feminicidios;2006;Paraguay;32,00;Número absoluto;;759
Número de femicidios o feminicidios;2007;Paraguay;27,00;Número absoluto;;759
Número de femicidios o feminicidios;2008;Paraguay;16,00;Número absoluto;;759
Número de femicidios o feminicidios;2009;Paraguay;30,00;Número absoluto;;759
Número de femicidios o feminicidios;2010;Paraguay;27,00;Número absoluto;;759
Número de femicidios o feminicidios;2011;Paraguay;32,00;Número absoluto;;759
Número de femicidios o feminicidios;2012;Paraguay;36,00;Número absoluto;;759
Número de femicidios o feminicidios;2013;Paraguay;25,00;Número absoluto;;759
Número de femicidios o feminicidios;2014;Paraguay;32,00;Número absoluto;;759
Número de femicidios o feminicidios;2009;Perú;154,00;Número absoluto;;757
Número de femicidios o feminicidios;2010;Perú;139,00;Número absoluto;;757
Número de femicidios o feminicidios;2011;Perú;123,00;Número absoluto;;757
Número de femicidios o feminicidios;2012;Perú;122,00;Número absoluto;;757
Número de femicidios o feminicidios;2013;Perú;111,00;Número absoluto;;757
Número de femicidios o feminicidios;2014;Perú;100,00;Número absoluto;;757
Número de femicidios o feminicidios;2005;República Dominicana;190,00;Número absoluto;;754
Número de femicidios o feminicidios;2006;República Dominicana;177,00;Número absoluto;;754
Número de femicidios o feminicidios;2007;República Dominicana;173,00;Número absoluto;;754
Número de femicidios o feminicidios;2008;República Dominicana;204,00;Número absoluto;;754
Número de femicidios o feminicidios;2009;República Dominicana;199,00;Número absoluto;;754
Número de femicidios o feminicidios;2010;República Dominicana;210,00;Número absoluto;;754
Número de femicidios o feminicidios;2011;República Dominicana;233,00;Número absoluto;;754
Número de femicidios o feminicidios;2012;República Dominicana;196,00;Número absoluto;;754
Número de femicidios o feminicidios;2013;República Dominicana;160,00;Número absoluto;;754
Número de femicidios o feminicidios;2014;República Dominicana;188,00;Número absoluto;;754
Número de femicidios o feminicidios;2008;Uruguay;25,00;Número absoluto;;812
Número de femicidios o feminicidios;2009;Uruguay;26,00;Número absoluto;;812
Número de femicidios o feminicidios;2010;Uruguay;35,00;Número absoluto;;812
Número de femicidios o feminicidios;2011;Uruguay;26,00;Número absoluto;;812
Número de femicidios o feminicidios;2012;Uruguay;26,00;Número absoluto;;812
Número de femicidios o feminicidios;2013;Uruguay;23,00;Número absoluto;;812
Número de femicidios o feminicidios;2014;Uruguay;18,00;Número absoluto;;812
Número de femicidios o feminicidios;2014;Panamá;34,00;Número absoluto;;1800
Número de femicidios o feminicidios;2014;Argentina;225,00;Número absoluto;;1414
Número de femicidios o feminicidios;2014;Venezuela (República Bolivariana de);74,00;Número absoluto;;1472
Número de femicidios o feminicidios;2015;Argentina;235,00;Número absoluto;;1414
Número de femicidios o feminicidios;2016;Argentina;254,00;Número absoluto;;1414
Número de femicidios o feminicidios;2015;Bolivia (Estado Plurinacional de);96,00;Número absoluto;;1679
Número de femicidios o feminicidios;2016;Bolivia (Estado Plurinacional de);104,00;Número absoluto;;1679
Número de femicidios o feminicidios;2015;Costa Rica;27,00;Número absoluto;;1300
Número de femicidios o feminicidios;2016;Costa Rica;26,00;Número absoluto;;1300
Número de femicidios o feminicidios;2005;Dominica;0,00;Número absoluto;;1682
Número de femicidios o feminicidios;2006;Dominica;1,00;Número absoluto;;1682
Número de femicidios o feminicidios;2007;Dominica;0,00;Número absoluto;;1682
Número de femicidios o feminicidios;2009;Dominica;0,00;Número absoluto;;1682
Número de femicidios o feminicidios;2011;Dominica;0,00;Número absoluto;;1682
Número de femicidios o feminicidios;2015;Ecuador;56,00;Número absoluto;12416;8974
Número de femicidios o feminicidios;2016;Ecuador;66,00;Número absoluto;12416;8974
Número de femicidios o feminicidios;2015;El Salvador;274,00;Número absoluto;;1287
Número de femicidios o feminicidios;2016;El Salvador;256,00;Número absoluto;;1287
Número de femicidios o feminicidios;2015;Guatemala;178,00;Número absoluto;10393;1315
Número de femicidios o feminicidios;2016;Guatemala;173,00;Número absoluto;10393;1315
Número de femicidios o feminicidios;2005;Honduras;175,00;Número absoluto;;1280
Número de femicidios o feminicidios;2006;Honduras;202,00;Número absoluto;;1280
Número de femicidios o feminicidios;2007;Honduras;295,00;Número absoluto;;1280
Número de femicidios o feminicidios;2011;Honduras;335,00;Número absoluto;;1280
Número de femicidios o feminicidios;2012;Honduras;319,00;Número absoluto;;1280
Número de femicidios o feminicidios;2013;Honduras;408,00;Número absoluto;;1280
Número de femicidios o feminicidios;2015;Honduras;312,00;Número absoluto;;1280
Número de femicidios o feminicidios;2016;Honduras;264,00;Número absoluto;;1280
Número de femicidios o feminicidios;2015;Panamá;28,00;Número absoluto;;1800
Número de femicidios o feminicidios;2016;Panamá;19,00;Número absoluto;;1800
Número de femicidios o feminicidios;2015;Paraguay;23,00;Número absoluto;;759
Número de femicidios o feminicidios;2016;Paraguay;39,00;Número absoluto;;759
Número de femicidios o feminicidios;2015;Perú;84,00;Número absoluto;15125;8973
Número de femicidios o feminicidios;2016;Perú;107,00;Número absoluto;15125;8973
Número de femicidios o feminicidios;2005;Santa Lucía;1,00;Número absoluto;;1320
Número de femicidios o feminicidios;2006;Santa Lucía;5,00;Número absoluto;;1320
Número de femicidios o feminicidios;2007;Santa Lucía;1,00;Número absoluto;;1320
Número de femicidios o feminicidios;2008;Santa Lucía;1,00;Número absoluto;;1320
Número de femicidios o feminicidios;2009;Santa Lucía;2,00;Número absoluto;;1320
Número de femicidios o feminicidios;2010;Santa Lucía;2,00;Número absoluto;;1320
Número de femicidios o feminicidios;2011;Santa Lucía;4,00;Número absoluto;;1320
Número de femicidios o feminicidios;2012;Santa Lucía;1,00;Número absoluto;;1320
Número de femicidios o feminicidios;2013;Santa Lucía;0,00;Número absoluto;;1320
Número de femicidios o feminicidios;2014;Santa Lucía;0,00;Número absoluto;;1320
Número de femicidios o feminicidios;2015;Santa Lucía;2,00;Número absoluto;;1320
Número de femicidios o feminicidios;2016;Santa Lucía;0,00;Número absoluto;;1320
Número de femicidios o feminicidios;2005;Trinidad y Tabago;18,00;Número absoluto;;813
Número de femicidios o feminicidios;2006;Trinidad y Tabago;22,00;Número absoluto;;813
Número de femicidios o feminicidios;2007;Trinidad y Tabago;8,00;Número absoluto;;813
Número de femicidios o feminicidios;2008;Trinidad y Tabago;19,00;Número absoluto;;813
Número de femicidios o feminicidios;2009;Trinidad y Tabago;12,00;Número absoluto;;813
Número de femicidios o feminicidios;2010;Trinidad y Tabago;18,00;Número absoluto;;813
Número de femicidios o feminicidios;2011;Trinidad y Tabago;8,00;Número absoluto;;813
Número de femicidios o feminicidios;2012;Trinidad y Tabago;10,00;Número absoluto;;813
Número de femicidios o feminicidios;2013;Trinidad y Tabago;12,00;Número absoluto;;813
Número de femicidios o feminicidios;2014;Trinidad y Tabago;15,00;Número absoluto;;813
Número de femicidios o feminicidios;2015;Trinidad y Tabago;9,00;Número absoluto;;813
Número de femicidios o feminicidios;2015;Uruguay;26,00;Número absoluto;;812
